"time_secs1970","tbsky30","first_cbh","rain_intensity","tbsky31","cat_wetwindow"
1396294105,12.4420003890991,-1,0,11.6000003814697,0
1417405402,13.3179998397827,-1,0,14.539999961853,0
1413459807,-1,-1,-1,-1,0
1388657427,10.7390003204346,-1,0,11.3900003433228,0
1390897816,11.6940002441406,1430,0,11.8299999237061,0
1390621079,14.5790004730225,-1,0,14.4099998474121,0
1402596760,-1,-1,-1,-1,-1
1390010526,12.8369998931885,7620,0,13.5,0
1397244135,19.1350002288818,-1,0,17.7800006866455,0
1401683760,162.975997924805,1580,0,-1,0
1406700820,32.023998260498,6270,0,32.4799995422363,0
1417382300,12.1140003204346,-1,0,11.6899995803833,0
1400872351,30.1100006103516,1750,0,30.9500007629395,0
1392268678,11.8570003509521,4770,0,12.5500001907349,0
1398012600,-1,-1,-1,-1,-1
1404373489,21.1959991455078,-1,0,21.6100006103516,0
1402436560,25.2600002288818,1700,0,25.25,0
1419308354,11.9309997558594,7490,0,12.6700000762939,0
1402077540,24.32200050354,-1,0,23.6200008392334,0
1392218554,13.9300003051758,-1,0,14.1499996185303,0
1414530140,15.3009996414185,5160,0,15.4300003051758,0
1410532860,32.5740013122559,610,0,32.5900001525879,0
1414026500,40.6879997253418,3640,0,40.7200012207031,0
1404810774,27.1350002288818,6310,0,26.9400005340576,0
1414820532,11.7209997177124,-1,0,12.6700000762939,0
1398694501,14.9540004730225,-1,0,14.7200002670288,0
1416011505,13.1979999542236,-1,0,13.8100004196167,0
1419481092,11.1190004348755,-1,0,11.4300003051758,0
1419274333,15.5019998550415,-1,0,14.2200002670288,0
1413475990,14.5880002975464,-1,0,13.9099998474121,0
1409128295,25.9659996032715,-1,0,25.6900005340576,0
1395069958,12.3330001831055,-1,0,12.4099998474121,0
1391659700,17.9020004272461,3230,0,19.25,0
1394080860,17.0949993133545,990,0,17.6700000762939,0
1407416156,31.113000869751,-1,0,31.7299995422363,0
1416721820,22.1469993591309,420,0,23.7099990844727,0
1408827773,21.4109992980957,-1,0,20.4400005340576,0
1419517158,11.7700004577637,-1,0,12.1800003051758,0
1393507343,9.55300045013428,-1,0,10.210000038147,0
1412629255,20.0429992675781,-1,0,18.3199996948242,0
1393491826,10.1049995422363,-1,0,10.9700002670288,0
1413922077,23.0259990692139,-1,0,22.2000007629395,0
1392908160,22.5289993286133,870,0,22.9799995422363,0
1406437500,25.9330005645752,-1,0,26.1499996185303,0
1389151298,12.293999671936,6770,0,13.0500001907349,0
1394480385,12.3100004196167,-1,0,11.2200002670288,0
1415890762,12.0129995346069,-1,0,12.6099996566772,0
1419448723,13.5069999694824,-1,0,12.7399997711182,0
1405438222,15.7019996643066,-1,0,15,0
1408792028,19.382999420166,-1,0,19.6700000762939,0
1418500060,32.9070014953613,250,0,33.560001373291,0
1402153943,23.7900009155273,-1,0,23.3700008392334,0
1409817282,25.8299999237061,-1,0,26.1200008392334,0
1410377740,32.1800003051758,920,0,30.5,0
1419412750,-1,2320,-1,-1,0
1402064180,154.192001342773,2660,1.10000002384186,-1,1
1409018226,25.4449996948242,-1,0,25.3799991607666,0
1410497660,22.681999206543,670,0,23.2900009155273,0
1411285548,36.5069999694824,2360,0,39.1500015258789,0
1398514109,20.8419990539551,-1,0,20.4699993133545,0
1413899499,-1,2150,-1,-1,0
1412213302,25.7430000305176,-1,0,25.8700008392334,0
1406207610,26.4990005493164,-1,0,25.7099990844727,0
1396341815,13.7340002059937,1840,0,14.4099998474121,0
1407499880,53.3440017700195,4070,0,57.0499992370605,0
1399047417,14.6750001907349,-1,0,12.8800001144409,0
1407605120,33.5890007019043,5590,0,33.1399993896484,0
1413309054,-1,-1,-1,-1,-1
1395646043,12.7080001831055,-1,0,13.4700002670288,0
1409130110,26.8110008239746,-1,0,26.7000007629395,0
1402217456,25.4479999542236,6110,0,25.8799991607666,0
1405635660,54.2130012512207,250,0,97.0699996948242,1
1419811161,-1,-1,-1,-1,0
1404183748,25.5380001068115,-1,0,25.8899993896484,0
1419913640,12.7550001144409,4960,0,13.4700002670288,0
1400210027,14.9219999313354,3100,0,15.6599998474121,0
1415229729,13.2709999084473,-1,0,13.6000003814697,0
1407643393,30.0540008544922,-1,0,30.3899993896484,0
1402938339,29.6270008087158,-1,0,28.2900009155273,0
1418999300,21.0890007019043,1080,0,22.2600002288818,0
1397621775,11.6420001983643,-1,0,12.8199996948242,0
1416990458,13.2189998626709,3520,0,13.8299999237061,0
1404889800,-1,-1,-1,-1,0
1397693155,-1,-1,-1,-1,-1
1417134876,14.0170001983643,-1,0,14.3000001907349,0
1413543634,13.164999961853,-1,0,13.8500003814697,0
1401685040,292.921997070312,-1,35.4000015258789,-1,0
1389091104,12.1079998016357,-1,0,13.1499996185303,0
1391026286,11.2340002059937,-1,0,10.9399995803833,0
1391422123,11.2600002288818,-1,0,12.1300001144409,0
1392410377,12.789999961853,-1,0,12.2799997329712,0
1395527721,14.6330003738403,-1,0,13.9700002670288,0
1394778002,12.4090003967285,-1,0,13.5500001907349,0
1393692559,23.9699993133545,430,0,24.2399997711182,0
1404167140,30.6420001983643,7260,0,30.3600006103516,0
1416340200,12.1070003509521,-1,0,11.9799995422363,0
1398795480,26.3159999847412,1040,0,27.3700008392334,0
1388890940,14.4689998626709,4710,0,14.7799997329712,0
1397973655,19.4740009307861,5280,0,19.8400001525879,0
